اسم الورقة المالية	الرمز	الكود الدولي	رابط الاخبار
 مستشفى النزهة الدولي	NINH	EGS72011C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS72011C017 
 الغربية الاسلامية للتنمية العمرانية	GIHD	EGS65461C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65461C013 
 مصر الجديدة للاسكان والتعمير	HELI	EGS65591C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65591C017 
 مدينة مصر للاسكان والتعمير	MASR	EGS65571C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65571C019 
 القاهره للإستثمار والتنمية العقارية سيرا للتعليم	CIRA	EGS65541C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65541C012 
 العربية لاستصلاح الاراضي	EALR	EGS65771C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65771C015 
 السعودية المصرية للاستثمار والتمويل	SEIG	EGS67031C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS67031C012 
 السعودية المصرية للاستثمار والتمويل $	SEIGA	EGS67032C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS67032C010 
 العالمية للاستثمار والتنمية	ICID	EGS67191C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS67191C014 
 اودن للاستثمارات المالية	ODIN	EGS67181C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS67181C015 
 اصول E.S.B للوساطة في الاوراق المالية	EBSC	EGS68181C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS68181C014 
 الحديد والصلب المصرية	IRON	EGS3D061C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3D061C015 
 الالومنيوم العربية	ALUM	EGS3D031C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3D031C018 
 الصناعات الغذائية العربية-دومتى	DOMT	EGS30031C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30031C016 
 الاسكندرية للخدمات الطبية - المركز الطبى الجديد - الاسكندرية	AMES	EGS72081C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS72081C010 
 القاهرة للخدمات التعليمية	CAED	EGS72201C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS72201C014 
 المصريه لمدينة الانتاج الاعلاميه	MPRC	EGS78021C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS78021C010 
 عبر المحيطات للسياحه	TRTO	EGS79072C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS79072C012 
 شمال الصعيد للتنمية والانتاج الزراعى (نيوداب)	NEDA	EGS52041C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS52041C018 
 مصر للاسواق الحرة	MFSC	EGS53051C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS53051C016 
 بنك كريدي اجريكول مصر	CIEB	EGS60041C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS60041C018 
 الصناعات الهندسية المعمارية للانشاء والتعمير - ايكون	ENGC	EGS3F021C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3F021C017 
 الكابلات الكهربائية المصرية	ELEC	EGS3G231C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3G231C011 
 بورسعيد لتداول الحاويات والبضائع	POCO	EGS42101C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS42101C013 
